SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"8633-1",4297719,1,"Black","Duplo: Miscellaneous Elements",56823,"String Poly 0,5Mm On Spool","http://cache.lego.com/media/bricks/5/1/4297719.jpg",125
"8633-1",301026,2,"Black","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301026.jpg",474
"8633-1",4181144,1,"Black","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181144.jpg",142
"8633-1",4200023,1,"Black","System: Bricks With Bows And Arches",30165,"Brick 2X2 W. Bow And Knobs","http://cache.lego.com/media/bricks/5/1/4200023.jpg",48
"8633-1",4522034,2,"Black","System: Bricks With Bows And Arches",61678,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/4522034.jpg",77
"8633-1",4253815,2,"Black","System: Bricks, Special",52107,"Brick 1X2 W. Four Knobs","http://cache.lego.com/media/bricks/5/1/4253815.jpg",133
"8633-1",4509669,1,"Black","System: Bricks, Special",58827,"Lattice Tower 2X2X10 M/Cross","http://cache.lego.com/media/bricks/5/1/4509669.jpg",15
"8633-1",306226,8,"Black","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",364
"8633-1",4529236,3,"Black","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",206
"8633-1",273026,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",2730,"Technic Brick 1X10 Ø4.9","http://cache.lego.com/media/bricks/5/1/273026.jpg",141
"8633-1",654126,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/654126.jpg",220
"8633-1",3200026,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32000,"Brick 1X2 M. 2 Holes Ø 4,87","http://cache.lego.com/media/bricks/5/1/3200026.jpg",172
"8633-1",304826,2,"Black","System: Bricks, With Slope",3048,"End Ridged Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/304826.jpg",67
"8633-1",329726,8,"Black","System: Bricks, With Slope",3297,"Roof Tile 3X4/25°","http://cache.lego.com/media/bricks/5/1/329726.jpg",78
"8633-1",366026,3,"Black","System: Bricks, With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/366026.jpg",322
"8633-1",4289538,1,"Black","System: Connectors",48729,"Stick Ø 3.2 W. Holder","http://cache.lego.com/media/bricks/5/1/4289538.jpg",203
"8633-1",4163524,1,"Black","System: Decoration Elements",30603,"Front, 2X2, Motor","http://cache.lego.com/media/bricks/5/1/4163524.jpg",26
"8633-1",71155,1,"Black","System: Fences And Ladders",71155,"Net 10X10","http://cache.lego.com/media/bricks/5/1/71155.jpg",40
"8633-1",396226,1,"Black","System: Figure Accessories In Hand",3962,"Walkie-Talkie","http://cache.lego.com/media/bricks/5/1/396226.jpg",212
"8633-1",436026,1,"Black","System: Figure Accessories In Hand",4360,"Camera","http://cache.lego.com/media/bricks/5/1/436026.jpg",99
"8633-1",4223189,1,"Black","System: Figure Accessories In Hand",6269,"Cup Without Wreath","http://cache.lego.com/media/bricks/5/1/4223189.jpg",26
"8633-1",4537551,1,"Black","System: Figure Accessories In Hand",60849,"Nozzle W/Ø3.18, Shaft","http://cache.lego.com/media/bricks/5/1/4537551.jpg",60
"8633-1",4526110,1,"Black","System: Figure, Wigs",62810,"Wig Boy","http://cache.lego.com/media/bricks/5/1/4526110.jpg",44
"8633-1",407926,1,"Black","System: Interior",4079,"Seat 2X2X2","http://cache.lego.com/media/bricks/5/1/407926.jpg",86
"8633-1",302126,2,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"8633-1",302326,2,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"8633-1",303226,2,"Black","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/303226.jpg",282
"8633-1",346026,2,"Black","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/346026.jpg",371
"8633-1",371026,1,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"8633-1",428226,2,"Black","System: Plates",4282,"Plate 2X16","http://cache.lego.com/media/bricks/5/1/428226.jpg",119
"8633-1",4166619,1,"Black","System: Plates",41539,"1Plate 8X8","http://cache.lego.com/media/bricks/5/1/4166619.jpg",48
"8633-1",408126,2,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/408126.jpg",245
"8633-1",4140588,1,"Black","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140588.jpg",342
"8633-1",4183060,1,"Black","System: Plates, Special",44302,"Plate 1X2 W/Fork/Vertical/End","http://cache.lego.com/media/bricks/5/1/4183060.jpg",116
"8633-1",396026,1,"Black","System: Plates, Special Circles And Angles",3960,"Round Plate Ø32X6.4","http://cache.lego.com/media/bricks/5/1/396026.jpg",49
"8633-1",4515350,1,"Black","System: Plates, Special Circles And Angles",60474,"Plate 4X4 Round W. Snap","http://cache.lego.com/media/bricks/5/1/4515350.jpg",88
"8633-1",4295395,1,"Black","System: Transportation Means, Aviation",43121,"Jet Engine 4X5X3","http://cache.lego.com/media/bricks/5/1/4295395.jpg",17
"8633-1",604126,1,"Black","System: Transportation Means, Ships",6041,"Propeller W. 3 Blades Ø26.6","http://cache.lego.com/media/bricks/5/1/604126.jpg",90
"8633-1",3003126,1,"Black","System: Transportation Means, Vehicles",30031,"Handle W. 3.18 Stick","http://cache.lego.com/media/bricks/5/1/3003126.jpg",124
"8633-1",4246901,1,"Black","System: Tyres And Rims For Snap Ø3,2",50951,"Tyre Low Narrow Ø14.58 X 6.24","http://cache.lego.com/media/bricks/5/1/4246901.jpg",124
"8633-1",4107085,2,"Black","Technic: Connectors",32013,"Angle Element, 0 Degrees [1]","http://cache.lego.com/media/bricks/5/1/4107085.jpg",347
"8633-1",4177431,1,"Black","Technic: Functional Elements, Gear Wheels And Racks",32270,"Double Conical Wheel Z12 1M","http://cache.lego.com/media/bricks/5/1/4177431.jpg",270
"8633-1",4107828,4,"Black","Technic: Half Beams",6632,"Technic Lever 3M","http://cache.lego.com/media/bricks/5/1/4107828.jpg",215
"8633-1",4213568,4,"Brick Yellow","System: Bricks, Special",47905,"Brick 1X1 W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/4213568.jpg",43
"8633-1",4514554,1,"Brick Yellow","Technic: Connectors",32556,"3M Connector Peg","http://cache.lego.com/media/bricks/5/1/4514554.jpg",244
"8633-1",370023,1,"Bright Blue","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370023.jpg",90
"8633-1",4195007,2,"Bright Blue","System: Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/4195007.jpg",34
"8633-1",317623,2,"Bright Blue","System: Plates, Special",3176,"Coupling Plate 2X2","http://cache.lego.com/media/bricks/5/1/317623.jpg",37
"8633-1",403223,1,"Bright Blue","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403223.jpg",101
"8633-1",4206482,6,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"8633-1",4504371,2,"Bright Orange","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504371.jpg",84
"8633-1",4169355,1,"Bright Orange","System: Decoration Elements",30602,"Front, 2X2, Sport","http://cache.lego.com/media/bricks/5/1/4169355.jpg",22
"8633-1",4527177,1,"Bright Orange","System: Mini Figure",76382,"Mini Upper Part No 1384","http://cache.lego.com/media/bricks/5/1/4527177.jpg",8
"8633-1",4528214,1,"Bright Orange","System: Mini Figure",63206,"Mini Lower Part No. '117'","http://cache.lego.com/media/bricks/5/1/4528214.jpg",9
"8633-1",4125254,7,"Bright Orange","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4125254.jpg",91
"8633-1",4158355,1,"Bright Orange","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4158355.jpg",146
"8633-1",4157103,3,"Bright Orange","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4157103.jpg",161
"8633-1",4220515,6,"Bright Red","System: Decoration Elements",47457,"Plates W. Bows 2X2","http://cache.lego.com/media/bricks/5/1/4220515.jpg",67
"8633-1",393821,1,"Bright Red","System: Functional Elements",3938,"Plate 1X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/393821.jpg",37
"8633-1",243121,1,"Bright Red","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243121.jpg",227
"8633-1",302121,1,"Bright Red","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302121.jpg",357
"8633-1",306921,1,"Bright Red","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306921.jpg",301
"8633-1",362321,1,"Bright Red","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362321.jpg",223
"8633-1",403221,2,"Bright Red","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403221.jpg",211
"8633-1",4142865,3,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",986
"8633-1",4227155,2,"Bright Red","Technic: Connectors",6590,"Bush For Cross Axle","http://cache.lego.com/media/bricks/5/1/4227155.jpg",287
"8633-1",4513174,1,"Bright Red","Technic: Connectors",59443,"Cross Axle, Extension, 2M","http://cache.lego.com/media/bricks/5/1/4513174.jpg",117
"8633-1",245824,4,"Bright Yellow","System: Bricks, Special Ø4.85 Hole And Connecting Bush",2458,"Brick 1X2 W. Horizontal Snap","http://cache.lego.com/media/bricks/5/1/245824.jpg",51
"8633-1",4528200,1,"Bright Yellow","System: Figure Accessories, Upper And Lower Part",63190,"Mini Head No. '537'","http://cache.lego.com/media/bricks/5/1/4528200.jpg",3
"8633-1",4528207,1,"Bright Yellow","System: Figure Accessories, Upper And Lower Part",63200,"Mini Head No. '542'","http://cache.lego.com/media/bricks/5/1/4528207.jpg",5
"8633-1",4259916,1,"Bright Yellow","System: Figure, Heads And Masks",52518,"Mini Head No. 411","http://cache.lego.com/media/bricks/5/1/4259916.jpg",37
"8633-1",302224,2,"Bright Yellow","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302224.jpg",370
"8633-1",306824,1,"Bright Yellow","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306824.jpg",137
"8633-1",663624,2,"Bright Yellow","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/663624.jpg",94
"8633-1",4540385,5,"Bright Yellowish Green","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4540385.jpg",46
"8633-1",4528859,1,"Cool Silver, Drum Lacquered","System: Figure, Hair",63359,"Helmet F. Mini Fig.,Drum Laqu.","http://cache.lego.com/media/bricks/5/1/4528859.jpg",4
"8633-1",4527065,1,"Dark Brown","System: Figure, Wigs",62696,"Wig W/Long Ponytail","http://cache.lego.com/media/bricks/5/1/4527065.jpg",24
"8633-1",302328,2,"Dark Green","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302328.jpg",250
"8633-1",4211100,1,"Dark Stone Grey","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/4211100.jpg",187
